date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:40:47	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Mar%202021%2007:40:47%20GMT	https://edu.google.com/intl/en/products/classroom	C:/My%20Web%20Sites/Google%20Classroom/edu.google.com/intl/en/products/classroom.0.delayed	(from )
07:40:47	95/95	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Feb%202021%2021:45:00%20GMT	https://edu.google.com/robots.txt		(from )
07:40:47	195426/195426	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Mar%202021%2020:45:00%20GMT	https://edu.google.com/intl/en/products/classroom/	C:/My%20Web%20Sites/Google%20Classroom/edu.google.com/intl/en/products/classroom/index.html	(from )
07:40:50	250/250	---M--	302	error ('Found')	text/html	date:Sat,%2013%20Mar%202021%2007:40:48%20GMT	http://www.googletagmanager.com/gtm.js?id=GTM-T7366R	C:/My%20Web%20Sites/Google%20Classroom/www.googletagmanager.com/gtm.3b1bf.delayed	(from https://edu.google.com/intl/en/products/classroom/)
07:40:50	295528/295528	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Mar%202021%2021:15:00%20GMT	https://edu.google.com/css/main/main.min.css	C:/My%20Web%20Sites/Google%20Classroom/edu.google.com/css/main/main.min.css	(from https://edu.google.com/intl/en/products/classroom/)
07:40:50	4334/4334	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Oct%202020%2003:45:00%20GMT	https://edu.google.com/assets/icons/mobile-app-stores/play-store.png	C:/My%20Web%20Sites/Google%20Classroom/edu.google.com/assets/icons/mobile-app-stores/play-store.png	(from https://edu.google.com/intl/en/products/classroom/)
07:40:50	518779/518779	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://edu.google.com/images/social_image.jpg	C:/My%20Web%20Sites/Google%20Classroom/edu.google.com/images/social_image.jpg	(from https://edu.google.com/intl/en/products/classroom/)
07:40:50	196051/196051	---MC-	200	added ('OK')	application/javascript	date:Sat,%2013%20Mar%202021%2006:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-T7366R	C:/My%20Web%20Sites/Google%20Classroom/www.googletagmanager.com/gtmb1bf.js	(from https://edu.google.com/intl/en/products/classroom/)
07:40:50	3464/3464	---M--	200	added ('OK')	image/png	date:Wed,%2028%20Oct%202020%2003:45:00%20GMT	https://edu.google.com/assets/icons/mobile-app-stores/app-store.png	C:/My%20Web%20Sites/Google%20Classroom/edu.google.com/assets/icons/mobile-app-stores/app-store.png	(from https://edu.google.com/intl/en/products/classroom/)
07:40:52	32790/32790	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	http://www.gstatic.com/brandstudio/kato/cookie_choice_component/cookie_consent_bar.v2.js	C:/My%20Web%20Sites/Google%20Classroom/www.gstatic.com/brandstudio/kato/cookie_choice_component/cookie_consent_bar.v2.js	(from https://edu.google.com/intl/en/products/classroom/)
